City,count
Los Angeles,1504
San Diego,671
Irvine,668
Atlanta,632
Austin,620
San Jose,551
Seattle,536
Boston,511
Kansas City,466
San Francisco,457
Houston,383
New York,371
Sacramento,348
Santa Clara,340
Washington,339
Denver,339
Columbus,328
Miami,311
Orlando,306
Las Vegas,298
Menlo Park,295
Phoenix,295
Chicago,292
Baltimore,281
Charlotte,270
Arlington,268
Bellevue,258
Portland,254
Pittsburgh,248
Nashville,240
Long Beach,232
Cambridge,228
Dallas,227
Rochester,223
Anaheim,222
Albany,210
Richmond,205
San Antonio,203
Boulder,189
Columbia,187
Tampa,184
Palo Alto,181
Fresno,180
Salt Lake City,175
Santa Monica,171
Philadelphia,166
Buffalo,161
Scottsdale,160
Redwood City,159
Springfield,157
Madison,151
Raleigh,150
Overland Park,149
Jacksonville,144
Riverside,140
Newark,140
Detroit,138
Salem,137
South San Francisco,136
Fort Worth,135
Fremont,133
Burlington,129
Oakland,129
Brooklyn,125
Honolulu,125
Cincinnati,122
Louisville,122
Orange,121
Wilmington,120
Worcester,120
San Mateo,120
San Bernardino,118
Glendale,116
Torrance,112
Newport Beach,110
Plano,110
Lancaster,108
Minneapolis,105
Aurora,103
Fullerton,103
Tempe,103
Tucson,103
Albuquerque,102
Troy,102
Reno,101
Fort Lauderdale,101
Auburn,100
Fairfield,99
Pasadena,98
Burbank,98
Dublin,96
Greenville,96
Cupertino,95
Durham,94
Costa Mesa,94
Dayton,93
Sunnyvale,92
Lincoln,92
Middletown,91
Providence,91
Culver City,91
Hayward,90
New Haven,89
Alexandria,89
Colorado Springs,89
Napa,87
Hartford,87
College Park,86
Concord,86
Bakersfield,85
Spokane,85
Ann Arbor,85
St. Louis,85
Westminster,84
Lexington,83
Tacoma,82
Santa Barbara,82
Walnut Creek,82
Fayetteville,81
Rockville,79
Saratoga Springs,78
Henderson,78
Santa Ana,78
Frisco,77
McLean,77
San Luis Obispo,76
Santa Rosa,76
Plymouth,76
Chandler,74
Gainesville,73
Sarasota,73
Hillsboro,73
Waltham,72
Palm Springs,72
Indianapolis,71
Fort Collins,71
Omaha,71
Jackson,71
Boca Raton,71
Lafayette,70
West Palm Beach,70
Carlsbad,70
Coral Gables,70
Berkeley,70
Milpitas,70
Schenectady,69
Burlingame,68
City of Industry,68
Littleton,68
Canton,67
Naples,67
Lehi,66
Lowell,65
Chattanooga,64
Pleasanton,64
Brentwood,63
Alpharetta,63
Sterling,63
Medford,63
Bloomington,63
Vancouver,62
El Cajon,62
Oceanside,62
West Hollywood,62
Annapolis,62
Cary,61
Lakewood,61
Lansing,61
Charleston,60
Fort Wayne,60
Tulsa,60
Mesa,59
Miami Beach,59
Santa Fe,58
Grand Rapids,58
Knoxville,57
Syracuse,57
Breckenridge,57
Eugene,57
Universal City,57
Milford,57
Watertown,57
Cleveland,57
Chula Vista,57
Asheville,57
Roseville,57
Santa Clarita,56
Mountain View,56
Boise,56
Latham,56
Milwaukee,56
Newton,55
Davis,55
Elk Grove,55
San Rafael,55
Fairfax,55
Paso Robles,54
Alameda,54
Kingston,54
Savannah,53
Broomfield,53
Birmingham,53
Franklin,53
Campbell,52
Bristol,52
East Hartford,52
Fort Myers,52
Clovis,51
Beverly Hills,51
Little Rock,51
Bethesda,51
Redmond,51
Athens,51
Huntington Beach,50
Escondido,50
New Orleans,50
Kissimmee,50
Stockton,50
San Marcos,50
Silver Spring,50
Stanford,50
Marlborough,50
Grand Junction,49
Duluth,49
Herndon,49
Augusta,49
Amherst,48
Huntsville,48
Norfolk,48
Clifton Park,48
Bedford,47
Irving,47
Baton Rouge,47
Warwick,47
Lebanon,47
Daytona Beach,47
Manchester,47
Oxnard,47
Allentown,47
Ithaca,46
Somerville,46
Longmont,46
Inglewood,46
Oklahoma City,46
Saint Paul,45
Sandy,45
Greensboro,45
Lawrenceville,45
Bellingham,45
Florence,45
Tallahassee,45
Temecula,45
Montgomery,45
El Segundo,45
Tustin,45
Ontario,45
La Jolla,44
Livermore,44
Salinas,44
Memphis,44
Beaverton,44
Murray,44
Jersey City,44
Santa Cruz,44
Charlottesville,44
Reston,44
Olathe,43
El Paso,43
Novato,42
Corona,42
Flagstaff,42
Thousand Oaks,42
Marietta,42
Avon,42
Greenfield,41
Walnut,41
Bend,41
Mahwah,41
Manhattan Beach,41
Toledo,41
Vallejo,41
Ventura,41
Taylorsville,41
Virginia Beach,41
New London,40
Santa Maria,40
Folsom,40
Norwalk,40
Waterbury,40
Oxford,40
Draper,40
Sandy Springs,40
